country,GDP: Gross domestic product (million current US$),GDP per capita (current US$),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Unemployment (% of labour force),"Population density (per km2, 2017)","Life expectancy at birth (females/males, years)",Urban population (% of total population)
Afghanistan,20270,623.2,3.3,91.1/131.6,39.7/70.7,3.7/13.3,8.6,54.4,63.5/61.0,26.7
Albania,11541,3984.2,3.5,111.7/115.5,92.5/98.8,68.1/48.7,15.8,106.9,79.9/75.6,57.4
Algeria,164779,4154.1,...,112.7/119.5,101.7/98.1,45.1/28.9,11.4,17.3,76.5/74.1,70.7
American Samoa,-99,-99.0,-99,-99,-99,-99,...,278.2,77.8/71.1,87.2
Andorra,2812,39896.4,3.3,-99,-99,-99,-99,163.8,-99,85.1
Angola,117955,4714.1,...,100.4/156.9,22.7/35.1,8.2/10.4,6.6,23.9,63.0/57.4,44.1
Anguilla,320,21879.6,...,-99,-99,-99,...,165.7,.../...,100.0
Antigua and Barbuda,1356,14764.5,...,94.1/100.0,103.8/101.6,31.1/15.1,...,231.8,78.2/73.3,23.8
Argentina,632343,14564.5,5.3,109.8/110.2,110.3/103.4,102.9/63.5,6.5,16.2,79.8/72.2,91.8
Armenia,10529,3489.1,2.8,98.5/98.5,89.0/88.1,46.9/41.6,16.6,102.9,77.0/70.6,62.7
Aruba,2702,26005.4,6.2,115.4/119.1,112.1/110.3,21.4/9.4,...,584.8,77.8/72.9,41.5
Australia,1230859,51352.2,5.2,102.1/102.3,133.6/141.3,106.3/75.4,5.5,3.2,84.4/80.2,89.4
Austria,376967,44117.7,5.5,102.2/103.7,97.6/102.4,89.2/74.3,6.2,106.0,83.5/78.4,66.0
Azerbaijan,53049,5438.7,2.6,105.6/107.4,-99,27.5/23.6,5.2,118.9,74.6/68.6,54.6
Bahamas,8854,22817.2,...,.../...,.../...,-99,14.7,39.5,78.1/72.0,82.9
Bahrain,31126,22600.2,2.7,101.8/100.6,101.9/102.4,59.4/30.9,1.3,1963.9,77.5/75.6,88.8
Bangladesh,194466,1207.9,1.9,125.1/116.0,67.4/59.8,11.4/15.4,4.0,1265.0,72.9/69.8,34.3
Barbados,4385,15429.4,6.6,94.2/93.1,110.7/107.9,90.6/40.3,11.3,664.5,77.7/72.9,31.5
Belarus,54609,5750.8,4.9,101.3/101.4,106.4/107.8,100.7/75.9,0.5,46.7,77.7/66.5,76.7
Belgium,455107,40277.8,6.6,104.2/104.2,177.7/156.4,85.4/65.0,8.3,377.5,83.0/78.0,97.9
Belize,1721,4789.4,6.4,110.4/115.8,81.8/79.8,28.7/17.9,11.5,16.4,72.7/67.2,44.0
Benin,8476,779.1,4.4,123.7/134.2,46.8/66.7,8.4/22.4,1.0,99.1,61.4/58.5,44.0
Bermuda,5853,94399.9,1.7,89.4/91.3,75.5/67.7,34.1/14.7,6.7,1227.0,85.1/77.5,100.0
Bhutan,2074,2677.1,7.4,96.9/96.6,87.1/81.4,9.2/12.6,2.4,21.2,68.9/68.6,38.6
Bolivia (Plurinational State of),32998,3076.8,7.3,95.7/98.5,85.7/87.1,.../...,3.8,10.2,70.2/65.3,68.5
"Bonaire, Sint Eustatius and Saba",-99,-99.0,-99,-99,-99,-99,-99,77.4,-99,74.7
Bosnia and Herzegovina,16251,4265.0,-99,-99,-99,-99,25.4,68.8,78.8/73.7,39.8
Botswana,14391,6360.6,...,105.8/109.4,.../...,27.7/19.2,18.6,4.0,66.1/59.8,57.4
Brazil,1772591,8528.3,6.0,113.8/116.8,102.2/97.2,59.3/42.4,12.4,25.0,78.4/71.0,85.7
British Virgin Islands,908,30144.5,6.6,-99,-99,-99,-99,208.0,.../...,46.2
Brunei Darussalam,12930,30552.7,4.4,108.2/108.1,96.3/95.9,38.6/23.5,2.1,81.3,78.4/75.1,77.2
Bulgaria,48953,6846.8,4.1,96.7/97.7,97.4/100.5,82.9/65.4,8.1,65.3,77.8/70.8,73.9
Burkina Faso,11065,611.1,4.1,86.1/89.9,32.2/35.1,3.8/7.3,2.9,70.2,59.3/58.0,29.9
Burundi,2735,244.6,5.4,124.5/123.1,40.5/44.5,2.4/7.7,1.7,423.1,58.0/54.2,12.1
Cabo Verde,1603,3080.2,5.0,106.9/112.8,98.3/87.7,25.2/18.1,10.5,135.6,74.0/70.1,65.5
